Date            Symbol      Qty     Price
2014-June-22    VOD          65     2.83
2014-June-22    MCD         400     2.51
2014-June-22    VOD         625     2.87
2014-June-22    BARCL        75     1.82
2014-June-22    BARCL        92     1.73
2014-June-22    TLS         200     2.85
2014-June-22    BARCL        75     0.85
2014-June-22    TLS         200     3.24
2014-June-22    VOD         125     2.85
2014-June-22    TLS         200     2.85
2014-June-22    MCD         100     2.85
2014-June-22    BARCL        75     0.85
2014-June-22    MCD         100     2.85
2014-June-22    VOD         100     2.85
2014-June-22    WHR         100     2.85
2014-June-22    MCD         100     2.85
2014-June-22    IBM         100     2.85
2014-June-23    BARCL        75     0.85
2014-June-23    IBM         100     2.85
2014-June-23    IBM         100     2.85
2014-June-23    WHR         100     2.85
2014-June-23    WHR         100     2.85
2014-June-23    VOD         100     2.85
2014-June-23    BARCL       100     2.85
2014-June-23    WHR         100     2.85
2014-June-24    WHR         300     2.85
2014-June-24    WHR         100     2.85
2014-June-24    VOD         100     2.85
2014-June-24    WHR         100     2.85
2014-June-24    WHR         100     2.85
2014-June-24    WHR         100     2.85
